Title,Rating,Link
Who Is There,10.0,https://www.imdb.com/title/tt28943529/
Ticci-Toby,10.0,https://www.imdb.com/title/tt11662022/
Sleep,10.0,https://www.imdb.com/title/tt29481677/
Sleepless,10.0,https://www.imdb.com/title/tt29481626/
Bergamota,10.0,https://www.imdb.com/title/tt27740180/
Grieving Process,10.0,https://www.imdb.com/title/tt10055088/
Campfire Tales,10.0,https://www.imdb.com/title/tt22029278/
Sleepless Night,10.0,https://www.imdb.com/title/tt29482042/
Mark Oeffler Creates New Images for Dawna of the Darkness in Family Film Monster On,10.0,https://www.imdb.com/title/tt29304024/
Ripples,10.0,https://www.imdb.com/title/tt5069622/
Frankenstein Walks Again,10.0,https://www.imdb.com/title/tt3904990/
Happy Anniversary,10.0,https://www.imdb.com/title/tt27199441/
Esperanza,10.0,https://www.imdb.com/title/tt28688178/
En los limites de lo inverosimil,10.0,https://www.imdb.com/title/tt6254230/
Graham's Journal,10.0,https://www.imdb.com/title/tt0880621/
Yesno,10.0,https://www.imdb.com/title/tt2880394/
 Petscop,10.0,https://www.imdb.com/title/tt12149798/
 Petscop,10.0,https://www.imdb.com/title/tt12149798/
 Petscop,10.0,https://www.imdb.com/title/tt12149798/
 Life of Luxury,10.0,https://www.imdb.com/title/tt12475888/
 Life of Luxury,10.0,https://www.imdb.com/title/tt12475888/
 The Disciples of Jigsaw,10.0,https://www.imdb.com/title/tt19875450/
 The Disciples of Jigsaw,10.0,https://www.imdb.com/title/tt19875450/
 Life of Luxury,10.0,https://www.imdb.com/title/tt12475888/
 Sam and Colby: The Attachment,10.0,https://www.imdb.com/title/tt20737440/
 The Walten Files,10.0,https://www.imdb.com/title/tt14779088/
 Bridgewater,10.0,https://www.imdb.com/title/tt15235420/
 The Mute Forest,10.0,https://www.imdb.com/title/tt26547570/
 The Mute Forest,10.0,https://www.imdb.com/title/tt26547570/
 The Mute Forest,10.0,https://www.imdb.com/title/tt26547570/
 The Mute Forest,10.0,https://www.imdb.com/title/tt26547570/
 Bridgewater,10.0,https://www.imdb.com/title/tt15235420/
 Bridgewater,10.0,https://www.imdb.com/title/tt15235420/
 Bridgewater,10.0,https://www.imdb.com/title/tt15235420/
 Bridgewater,10.0,https://www.imdb.com/title/tt15235420/
 Nang Nak Saphai Phra Khanong,10.0,https://www.imdb.com/title/tt24251134/
 Bridgewater,10.0,https://www.imdb.com/title/tt15235420/
 Bridgewater,10.0,https://www.imdb.com/title/tt15235420/
 Bridgewater,10.0,https://www.imdb.com/title/tt15235420/
 Life of Luxury,10.0,https://www.imdb.com/title/tt12475888/
 Iiihhh Serrreemm!,10.0,https://www.imdb.com/title/tt27737116/
 Eden,10.0,https://www.imdb.com/title/tt28336212/
 Horror Trip,10.0,https://www.imdb.com/title/tt28863374/
 Scare Tactics,10.0,https://www.imdb.com/title/tt0339968/
 Growing Up Creepie,10.0,https://www.imdb.com/title/tt0870039/
Los de al lado,9.9,https://www.imdb.com/title/tt15085872/
ZIP,9.9,https://www.imdb.com/title/tt27187307/
Dua Alam: Villa Kaliurang,9.9,https://www.imdb.com/title/tt21446718/
La llamada,9.9,https://www.imdb.com/title/tt1325588/
The Test,9.9,https://www.imdb.com/title/tt6719922/
